Time,Occupancy,co2,pm25,humidity,VOC
11/27/2022 9:30,0,428.7,0.1,34.9,326.1
11/27/2022 9:35,0,430.2,0.1,35.4,325.9
11/27/2022 9:40,0,428.9,0,35.7,325.8
11/27/2022 9:45,0,428.4,0,36.1,326.2
11/27/2022 9:50,0,427.3,0.1,36.5,328.1
11/27/2022 9:55,0,430.2,0,36.9,329.3
11/27/2022 10:00,0,430.9,0.1,37.2,330
11/27/2022 10:05,0,428.5,0.1,37.5,329.5
11/27/2022 10:10,0,429.8,0.1,37.7,328.9
11/27/2022 10:15,0,431.8,0,37.8,329.8
11/27/2022 10:20,0,430.9,0,38.1,331.8
11/27/2022 10:25,0,430.6,0.1,38.3,330.4
11/27/2022 10:30,0,428.5,0,38.5,331.9
11/27/2022 10:35,0,431.5,0.1,38.8,330.5
11/27/2022 10:40,0,431.5,0,38.9,333.7
11/27/2022 10:45,0,431,0,39.1,334.5
11/27/2022 10:50,0,434.6,0,39.3,332.1
11/27/2022 10:55,0,432.7,0,39.5,329.8
11/27/2022 11:00,0,434.7,0,39.7,329.2
11/27/2022 11:05,0,432.6,0,39.9,330.7
11/27/2022 11:10,0,435.3,0.1,40,332.3
11/27/2022 11:15,0,437.1,0.1,40.1,334.3
11/27/2022 11:20,0,436.5,0,40.4,333
11/27/2022 11:25,0,435,0,40.6,331
11/27/2022 11:30,0,436.8,0,40.7,331.9
11/27/2022 11:35,0,437,0.1,41,331.5
11/27/2022 11:40,0,437.1,0,41.1,334.7
11/27/2022 11:45,0,435.2,0,41.3,334.3
11/27/2022 11:50,0,434.5,0.1,41.6,334
11/27/2022 11:55,0,431.2,0.1,41.7,335
11/27/2022 12:00,0,434.9,0,41.9,337.4
11/27/2022 12:05,0,437.8,0,42.1,338.7
11/27/2022 12:10,0,440.1,0,42.2,341.2
11/27/2022 12:15,0,441.1,0,42.2,342.2
11/27/2022 12:20,0,438.5,0,42.4,343.5
11/27/2022 12:25,0,435.3,0.1,42.5,342.8
11/27/2022 12:30,0,437.9,0,42.7,346.1
11/27/2022 12:35,0,440.3,0,42.8,349.7
11/27/2022 12:40,0,440.1,0,43,347.2
11/27/2022 12:45,0,440.8,0,43.2,349.3
11/27/2022 12:50,0,440.8,0,43.4,351.8
11/27/2022 12:55,0,436.4,0,43.4,352.4
11/27/2022 13:00,0,435.2,0,43.5,352.3
11/27/2022 13:05,0,437.8,0,43.6,355.8
11/27/2022 13:10,0,439.4,0,43.7,358
11/27/2022 13:15,0,438.7,0,43.9,355.7
11/27/2022 13:20,0,439.3,0,44,357.4
11/27/2022 13:25,0,440.5,0,44.2,357.5
11/27/2022 13:30,0,439.9,0,44.2,359.8
11/27/2022 13:35,0,438.1,0,44.3,360.1
11/27/2022 13:40,0,435.5,0,44.4,360.9
11/27/2022 13:45,0,436.3,0,44.6,361.3
11/27/2022 13:50,0,434.9,0,44.6,362.2
11/27/2022 13:55,0,435.1,0,44.8,362.7
11/27/2022 14:00,0,437.9,0,44.9,364.3
11/27/2022 14:05,0,438.5,0,45.1,365.3
11/27/2022 14:10,0,439,0,45.4,365.4
11/27/2022 14:15,0,436.7,0,45.5,365.6
11/27/2022 14:20,0,436.7,0,45.6,366.9
11/27/2022 14:25,0,437.1,0,45.8,366.9
11/27/2022 14:30,0,437.5,0,46,368.9
11/27/2022 14:35,0,438,0,46.1,368.6
11/27/2022 14:40,0,438.1,0,46.3,370.4
11/27/2022 14:45,0,437.2,0,46.4,370.6
11/27/2022 14:50,0,438.4,0,46.5,370.2
11/27/2022 14:55,0,438,0,46.5,371.1
11/27/2022 15:00,0,438.6,0,46.6,371.3
11/27/2022 15:05,0,437.2,0,46.8,371.6
11/27/2022 15:10,0,440,0,47,370
11/27/2022 15:15,0,441.1,0,47.1,369.9
11/27/2022 15:20,0,437.9,0,47.3,369.3
11/27/2022 15:25,0,437.4,0,47.4,372.9
11/27/2022 15:30,0,438.2,0,47.5,372.3
11/27/2022 15:35,0,437.5,0,47.7,371.9
11/27/2022 15:40,0,436.8,0,47.8,373.9
11/27/2022 15:45,0,438.8,0,47.9,373.3
11/27/2022 15:50,0,443.4,0,48.1,374.6
11/27/2022 15:55,0,447,0,48.6,374.7
11/27/2022 16:00,0,448.9,0,48.7,376.9
11/27/2022 16:05,0,444.1,0,48.9,378.4
11/27/2022 16:10,0,445.3,0,49.2,377.9
11/27/2022 16:15,0,447.9,0,49.4,380.3
11/27/2022 16:20,0,446.9,0,49.7,380.6
11/27/2022 16:25,0,448.8,0,49.7,379.9
11/27/2022 16:30,0,447.8,0,49.9,383.5
11/27/2022 16:35,0,446.1,0,50,384.4
11/27/2022 16:40,0,442.7,0,50.1,383.9
11/27/2022 16:45,0,442.2,0,50.2,386.3
11/27/2022 16:50,0,444.7,0,50.4,387.3
11/27/2022 16:55,0,446.1,0,50.5,386.6
11/27/2022 17:00,0,443.9,0,50.6,388
11/27/2022 17:05,0,446.8,0,50.7,387.8
11/27/2022 17:10,0,445.1,0,50.8,388.8
11/27/2022 17:15,0,445.7,0,50.9,389.6
11/27/2022 17:20,0,447.6,0,51,389.3
11/27/2022 17:25,0,450.7,0,51,390.3
11/27/2022 17:30,0,449,0,51.1,391.1
11/27/2022 17:35,0,446.5,0,51.1,393.1
11/27/2022 17:40,0,443.7,0,51.2,393.2
11/27/2022 17:45,0,443.1,0,51.3,397.2
11/27/2022 17:50,0,444.4,0,51.4,396.4
11/27/2022 17:55,0,444.9,0,51.3,399.3
11/27/2022 18:00,0,445.1,0,51.2,402.9
11/28/2022 9:30,0,430.4,0,35.9,331.4
11/28/2022 9:35,0,435.3,0,35.7,346.3
11/28/2022 9:40,0,438.3,0,35.5,352.8
11/28/2022 9:45,1,440.8,0.1,35.3,361.4
11/28/2022 9:50,1,451.7,1.1,35,371.8
11/28/2022 9:55,0,462.4,0.8,34.5,376.4
11/28/2022 10:00,1,468.6,0.7,34.2,378.5
